# step source loss verdict alpha
1 0 5.5882 WEAKEN 0.179
2 0 5.1538 WEAKEN 0.177
3 0 5.2479 WEAKEN 0.112
4 0 4.8829 WEAKEN 0.764
5 0 4.7604 FREEZE 0.000
6 1 4.9367 WEAKEN 0.045
7 0 4.3654 WEAKEN 0.617
8 0 4.2859 PASS 1.000
9 0 4.1564 WEAKEN 0.108
10 0 3.9930 WEAKEN 0.248
11 0 3.9042 WEAKEN 0.733
12 0 3.7269 WEAKEN 0.706
13 0 4.0110 WEAKEN 0.420
14 0 3.8858 SILENCE 0.000
15 0 3.6798 PASS 1.000
16 0 3.3882 WEAKEN 0.452
17 0 3.3660 WEAKEN 0.053
18 0 3.3176 WEAKEN 0.503
19 0 3.4441 WEAKEN 0.316
20 0 3.4163 WEAKEN 0.982
21 0 3.2938 WEAKEN 0.613
22 0 3.5670 WEAKEN 0.146
23 0 3.3863 FREEZE 0.000
24 1 3.6280 FREEZE 0.000
25 0 3.4518 WEAKEN 0.150
26 0 3.4752 FREEZE 0.000
27 0 3.3861 FREEZE 0.000
28 0 2.9721 WEAKEN 0.619
29 0 3.0554 WEAKEN 0.674
30 0 3.4848 PASS 1.000
31 0 2.9504 WEAKEN 0.356
32 0 2.8020 WEAKEN 0.909
33 0 3.1986 WEAKEN 0.980
34 0 2.6990 PASS 1.000
35 0 2.6180 WEAKEN 0.628
36 0 2.8250 PASS 1.000
37 0 3.1434 WEAKEN 0.007
38 1 3.4620 FREEZE 0.000
39 0 2.6951 PASS 1.000
40 0 2.7855 WEAKEN 0.641
41 1 3.4552 SILENCE 0.000
42 0 2.5996 WEAKEN 0.764
43 1 3.3868 FREEZE 0.000
44 0 3.1477 FREEZE 0.000
45 0 2.8347 WEAKEN 0.724
46 0 2.8031 FREEZE 0.000
47 0 2.7073 WEAKEN 0.962
48 0 2.8996 WEAKEN 0.379
49 0 2.5940 FREEZE 0.000
50 0 2.9275 WEAKEN 0.577
51 0 3.0398 FREEZE 0.000
52 0 2.7877 WEAKEN 0.055
53 0 2.8706 WEAKEN 0.832
54 0 2.5407 WEAKEN 0.890
55 0 3.0520 WEAKEN 0.118
56 0 2.7995 WEAKEN 0.113
57 0 2.8982 FREEZE 0.000
58 0 2.8057 WEAKEN 0.648
59 0 3.1003 FREEZE 0.000
60 0 2.7336 WEAKEN 0.823
61 1 3.4184 SCAR 0.000
62 0 2.8211 WEAKEN 0.181
63 0 2.8040 WEAKEN 0.459
64 0 2.7685 WEAKEN 0.180
65 0 2.6258 WEAKEN 0.106
66 0 2.6518 WEAKEN 0.692
67 0 2.3458 WEAKEN 0.425
68 0 2.9811 FREEZE 0.000
69 0 2.9807 SILENCE 0.000
70 0 2.7013 WEAKEN 0.190
71 0 2.5324 PASS 1.000
72 0 2.8313 WEAKEN 0.502
73 0 2.7730 WEAKEN 0.612
74 0 2.9153 WEAKEN 0.470
75 0 2.8421 WEAKEN 0.399
76 1 6.7453 FREEZE 0.000
77 0 2.9183 WEAKEN 0.291
78 0 2.7780 WEAKEN 0.619
79 0 3.0038 WEAKEN 0.576
80 0 2.9158 WEAKEN 0.638
81 0 2.5252 WEAKEN 0.850
82 1 6.8816 FREEZE 0.000
83 0 2.8592 WEAKEN 0.775
84 0 2.8187 WEAKEN 0.482
85 0 3.0715 FREEZE 0.000
86 0 2.8395 WEAKEN 0.786
87 0 2.8709 WEAKEN 0.334
88 0 2.6480 WEAKEN 0.701
89 0 2.6398 WEAKEN 0.913
90 0 2.6248 WEAKEN 0.790
91 0 2.6677 WEAKEN 0.379
92 0 2.5300 WEAKEN 0.246
93 0 2.8566 WEAKEN 0.741
94 0 2.9575 FREEZE 0.000
95 0 2.7624 WEAKEN 0.730
96 0 2.9580 WEAKEN 0.540
97 0 2.7649 FREEZE 0.000
98 1 5.9933 FREEZE 0.000
99 0 3.0547 WEAKEN 0.216
100 0 2.5182 WEAKEN 0.774
101 0 2.5756 WEAKEN 0.928
102 0 2.7541 FREEZE 0.000
103 0 2.7405 WEAKEN 0.497
104 0 2.6477 WEAKEN 0.619
105 1 6.5171 FREEZE 0.000
106 0 2.9677 WEAKEN 0.160
107 0 2.8562 WEAKEN 0.317
108 0 2.5975 WEAKEN 0.513
