# step source loss verdict alpha
1 1 5.5673 PASS 1.000
2 0 5.4816 PASS 1.000
3 0 5.4247 PASS 1.000
4 1 5.1774 PASS 1.000
5 0 4.6470 PASS 1.000
6 0 4.6597 PASS 1.000
7 0 4.6743 PASS 1.000
8 1 4.4509 PASS 1.000
9 0 4.4012 PASS 1.000
10 0 4.1884 PASS 1.000
11 0 4.2453 PASS 1.000
12 0 3.9694 PASS 1.000
13 0 3.8403 PASS 1.000
14 1 3.7384 PASS 1.000
15 0 3.7871 PASS 1.000
16 0 3.7206 PASS 1.000
17 0 3.5994 PASS 1.000
18 0 3.6590 PASS 1.000
19 0 3.4004 PASS 1.000
20 0 3.4867 PASS 1.000
21 0 3.2591 PASS 1.000
22 0 3.3721 PASS 1.000
23 0 3.2026 PASS 1.000
24 0 2.9178 PASS 1.000
25 0 2.9871 PASS 1.000
26 0 2.9553 PASS 1.000
27 0 2.7360 PASS 1.000
28 0 3.0678 PASS 1.000
29 0 2.8543 PASS 1.000
30 0 2.7310 PASS 1.000
31 0 2.7394 PASS 1.000
32 0 2.9413 PASS 1.000
33 0 2.8773 PASS 1.000
34 0 2.7457 PASS 1.000
35 0 3.0258 PASS 1.000
36 0 3.1739 PASS 1.000
37 0 2.7507 PASS 1.000
38 0 2.9617 PASS 1.000
39 0 2.8862 PASS 1.000
40 0 2.7459 PASS 1.000
41 0 3.0338 PASS 1.000
42 1 4.4522 PASS 1.000
43 0 2.7304 PASS 1.000
44 0 2.7679 PASS 1.000
45 0 2.5822 PASS 1.000
46 0 2.9180 PASS 1.000
47 0 2.6310 PASS 1.000
48 0 2.8063 PASS 1.000
49 0 2.7483 PASS 1.000
50 0 2.6391 PASS 1.000
51 0 2.7298 PASS 1.000
52 0 2.5702 PASS 1.000
53 0 2.7840 PASS 1.000
54 0 2.5992 PASS 1.000
55 0 2.9973 PASS 1.000
56 0 2.8055 PASS 1.000
57 0 2.5136 PASS 1.000
58 0 2.8851 PASS 1.000
59 0 2.6148 PASS 1.000
60 0 2.7460 PASS 1.000
61 1 2.9285 PASS 1.000
62 1 3.2553 PASS 1.000
63 1 3.0456 PASS 1.000
64 0 2.4681 PASS 1.000
65 0 2.7485 PASS 1.000
66 0 2.6379 PASS 1.000
67 0 2.8313 PASS 1.000
68 0 2.8382 PASS 1.000
69 0 2.7373 PASS 1.000
70 0 2.4790 PASS 1.000
71 0 2.7257 PASS 1.000
72 0 2.3085 PASS 1.000
73 0 2.6410 PASS 1.000
74 0 2.7367 PASS 1.000
75 0 2.4197 PASS 1.000
76 0 2.4384 PASS 1.000
77 0 2.6312 PASS 1.000
78 0 2.9872 PASS 1.000
79 0 2.5877 PASS 1.000
80 0 2.8239 PASS 1.000
81 0 2.3377 PASS 1.000
82 0 2.8885 PASS 1.000
83 1 2.8867 PASS 1.000
84 0 2.4732 PASS 1.000
85 0 2.5794 PASS 1.000
86 0 2.4579 PASS 1.000
87 1 4.4824 PASS 1.000
88 1 5.1377 PASS 1.000
89 0 2.7977 PASS 1.000
90 0 2.4822 PASS 1.000
91 0 3.0070 PASS 1.000
92 0 2.8249 PASS 1.000
93 0 2.9271 PASS 1.000
94 0 2.4747 PASS 1.000
95 0 2.6173 PASS 1.000
96 0 2.6552 PASS 1.000
97 0 2.8014 PASS 1.000
98 0 3.0006 PASS 1.000
99 0 2.8432 PASS 1.000
100 0 2.8586 PASS 1.000
101 0 2.6016 PASS 1.000
102 0 2.6498 PASS 1.000
103 0 2.4990 PASS 1.000
104 0 2.8712 PASS 1.000
105 0 2.6143 PASS 1.000
106 0 2.6151 PASS 1.000
107 0 2.4701 PASS 1.000
108 0 2.3970 PASS 1.000
109 0 2.5129 PASS 1.000
110 0 2.5970 PASS 1.000
111 0 2.7834 PASS 1.000
112 0 2.5636 PASS 1.000
113 0 2.4615 PASS 1.000
114 0 2.5400 PASS 1.000
115 0 2.6759 PASS 1.000
116 0 2.6113 PASS 1.000
117 0 2.8720 PASS 1.000
118 0 2.4870 PASS 1.000
119 0 2.4838 PASS 1.000
120 0 2.5908 PASS 1.000
121 0 2.6145 PASS 1.000
122 0 2.6811 PASS 1.000
123 0 2.6052 PASS 1.000
124 0 2.4527 PASS 1.000
125 0 2.6246 PASS 1.000
126 1 2.8617 PASS 1.000
127 0 2.4377 PASS 1.000
128 0 2.7288 PASS 1.000
129 0 2.3470 PASS 1.000
130 0 2.3307 PASS 1.000
131 0 2.3968 PASS 1.000
132 1 2.9880 PASS 1.000
133 0 2.3094 PASS 1.000
134 0 2.4135 PASS 1.000
135 1 2.6599 PASS 1.000
136 0 2.6174 PASS 1.000
137 0 2.8719 PASS 1.000
138 0 2.4517 PASS 1.000
139 0 2.6264 PASS 1.000
140 0 2.4465 PASS 1.000
141 0 2.5239 PASS 1.000
