# step source loss verdict alpha
1 0 5.5882 WEAKEN 0.221
2 0 5.1538 WEAKEN 0.222
3 0 5.2479 WEAKEN 0.133
4 0 4.8829 WEAKEN 0.842
5 0 4.7604 FREEZE 0.000
6 1 4.9367 WEAKEN 0.130
7 0 4.3654 WEAKEN 0.661
8 0 4.2859 PASS 1.000
9 0 4.1564 WEAKEN 0.130
10 0 3.9930 WEAKEN 0.329
11 0 3.9042 WEAKEN 0.823
12 0 3.7269 WEAKEN 0.781
13 0 4.0110 WEAKEN 0.486
14 0 3.8858 SILENCE 0.000
15 0 3.6798 PASS 1.000
16 0 3.3882 WEAKEN 0.555
17 0 3.3660 WEAKEN 0.121
18 0 3.3172 WEAKEN 0.607
19 0 3.4425 WEAKEN 0.406
20 0 3.4146 PASS 1.000
21 0 3.2933 WEAKEN 0.666
22 0 3.5653 WEAKEN 0.240
23 0 3.3860 FREEZE 0.000
24 1 3.6285 FREEZE 0.000
25 0 3.4522 WEAKEN 0.216
26 0 3.4747 FREEZE 0.000
27 0 3.3855 FREEZE 0.000
28 0 2.9692 WEAKEN 0.710
29 0 3.0554 WEAKEN 0.730
30 0 3.4843 PASS 1.000
31 0 2.9476 WEAKEN 0.471
32 0 2.8015 WEAKEN 0.986
33 0 3.2000 PASS 1.000
34 0 2.6993 PASS 1.000
35 0 2.6154 WEAKEN 0.712
36 0 2.8239 PASS 1.000
37 0 3.1418 WEAKEN 0.071
38 1 3.4317 FREEZE 0.000
39 0 2.6718 PASS 1.000
40 0 2.7422 WEAKEN 0.741
41 1 3.3733 FREEZE 0.000
42 0 2.5970 WEAKEN 0.875
43 1 3.3475 FREEZE 0.000
44 0 3.0942 FREEZE 0.000
45 0 2.8474 WEAKEN 0.821
46 0 2.7962 FREEZE 0.000
47 0 2.6995 PASS 1.000
48 0 2.8983 WEAKEN 0.446
49 0 2.6032 FREEZE 0.000
50 0 2.9018 WEAKEN 0.671
51 0 3.0322 FREEZE 0.000
52 0 2.7708 WEAKEN 0.122
53 0 2.8442 WEAKEN 0.903
54 0 2.5324 WEAKEN 0.984
55 0 3.0638 WEAKEN 0.188
56 0 2.7983 WEAKEN 0.182
57 0 2.8684 FREEZE 0.000
58 0 2.7998 WEAKEN 0.732
59 0 3.0798 FREEZE 0.000
60 0 2.7257 WEAKEN 0.902
61 1 3.4108 SCAR 0.000
62 0 2.8216 WEAKEN 0.231
63 0 2.7907 WEAKEN 0.545
64 0 2.7488 WEAKEN 0.280
65 0 2.6062 WEAKEN 0.197
66 0 2.6423 WEAKEN 0.778
67 0 2.3393 WEAKEN 0.523
68 0 2.9623 FREEZE 0.000
69 0 2.9703 SILENCE 0.000
70 0 2.6755 WEAKEN 0.272
71 0 2.5293 PASS 1.000
72 0 2.8193 WEAKEN 0.589
73 0 2.7541 WEAKEN 0.701
74 0 2.9093 WEAKEN 0.525
75 0 2.8329 WEAKEN 0.447
76 1 6.7358 FREEZE 0.000
77 0 2.8829 WEAKEN 0.403
78 0 2.7489 WEAKEN 0.723
79 0 2.9783 WEAKEN 0.637
80 0 2.8960 WEAKEN 0.732
81 0 2.5129 WEAKEN 0.916
82 1 6.8405 FREEZE 0.000
83 0 2.8480 WEAKEN 0.859
84 0 2.8079 WEAKEN 0.573
85 0 3.0538 FREEZE 0.000
86 0 2.8352 WEAKEN 0.860
87 0 2.8521 WEAKEN 0.410
88 0 2.6410 WEAKEN 0.761
89 0 2.6345 WEAKEN 0.992
90 0 2.6107 WEAKEN 0.871
91 0 2.6688 WEAKEN 0.456
92 0 2.5153 WEAKEN 0.312
93 0 2.8536 WEAKEN 0.813
94 0 2.9530 FREEZE 0.000
95 0 2.7551 WEAKEN 0.806
96 0 2.9518 WEAKEN 0.624
97 0 2.7572 FREEZE 0.000
98 1 5.9843 FREEZE 0.000
99 0 3.0471 WEAKEN 0.293
100 0 2.5098 WEAKEN 0.870
101 0 2.5703 WEAKEN 0.992
102 0 2.7569 FREEZE 0.000
103 0 2.7383 WEAKEN 0.540
104 0 2.6470 WEAKEN 0.646
105 1 6.4934 FREEZE 0.000
